Features Used,Validation Accuracy,Sim Test Accuracy,Real Test Accuracy,Real Test Completeness,Real Test Purity,F1 Score,Metric Value
"(0, 1, 2, 3, 5, 6, 7, 9, 10, 11, 12, 13)",0.9999444484710693,1.0,0.9375,0.75,0.9,0.8181818181818182,0.8181818181818182
"(0, 1, 2, 3, 5, 6, 8, 9, 10, 11, 12, 13)",1.0,1.0,0.90625,0.5833333333333334,0.875,0.7000000000000001,0.7000000000000001
"(0, 1, 2, 3, 5, 7, 8, 9, 10, 11, 12, 13)",0.9998888969421387,1.0,0.9375,0.75,0.9,0.8181818181818182,0.8181818181818182
"(0, 1, 2, 3, 6, 7, 8, 9, 10, 11, 12, 13)",1.0,1.0,0.9375,0.75,0.9,0.8181818181818182,0.8181818181818182
"(0, 1, 2, 4, 5, 6, 7, 8, 9, 10, 11, 12)",0.9996111392974854,0.9994999766349792,0.953125,0.8333333333333334,0.9090909090909091,0.8695652173913043,0.8695652173913043
"(0, 1, 2, 4, 5, 6, 7, 8, 9, 10, 11, 13)",1.0,0.9998999834060669,0.9375,0.75,0.9,0.8181818181818182,0.8181818181818182
"(0, 1, 2, 4, 5, 6, 7, 8, 9, 10, 12, 13)",0.9998888969421387,0.9998999834060669,0.953125,0.8333333333333334,0.9090909090909091,0.8695652173913043,0.8695652173913043
"(0, 1, 2, 4, 5, 6, 7, 8, 9, 11, 12, 13)",1.0,1.0,0.640625,0.9166666666666666,0.3333333333333333,0.4888888888888888,0.4888888888888888
"(0, 1, 2, 4, 5, 6, 7, 8, 10, 11, 12, 13)",0.5005000233650208,0.5,0.8125,0.0,0,0,0
"(0, 1, 2, 4, 5, 6, 7, 9, 10, 11, 12, 13)",1.0,1.0,0.921875,0.6666666666666666,0.8888888888888888,0.761904761904762,0.761904761904762
"(0, 1, 2, 4, 5, 6, 8, 9, 10, 11, 12, 13)",1.0,1.0,0.921875,0.6666666666666666,0.8888888888888888,0.761904761904762,0.761904761904762
"(0, 1, 2, 4, 5, 7, 8, 9, 10, 11, 12, 13)",0.9997222423553467,0.9998999834060669,0.953125,0.9166666666666666,0.8461538461538461,0.8799999999999999,0.8799999999999999
"(0, 1, 2, 4, 6, 7, 8, 9, 10, 11, 12, 13)",1.0,1.0,0.953125,0.8333333333333334,0.9090909090909091,0.8695652173913043,0.8695652173913043
"(0, 1, 2, 5, 6, 7, 8, 9, 10, 11, 12, 13)",1.0,1.0,0.953125,0.8333333333333334,0.9090909090909091,0.8695652173913043,0.8695652173913043
"(0, 1, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12)",0.9999444484710693,1.0,0.96875,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.9166666666666666
"(0, 1, 3, 4, 5, 6, 7, 8, 9, 10, 11, 13)",1.0,1.0,0.96875,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.9166666666666666
"(0, 1, 3, 4, 5, 6, 7, 8, 9, 10, 12, 13)",0.9999444484710693,1.0,0.96875,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.9166666666666666
"(0, 1, 3, 4, 5, 6, 7, 8, 9, 11, 12, 13)",0.9999444484710693,1.0,0.921875,0.9166666666666666,0.7333333333333333,0.8148148148148148,0.8148148148148148
"(0, 1, 3, 4, 5, 6, 7, 8, 10, 11, 12, 13)",0.7533888816833496,0.7501000165939331,0.8125,0.9166666666666666,0.5,0.6470588235294118,0.6470588235294118
"(0, 1, 3, 4, 5, 6, 7, 9, 10, 11, 12, 13)",1.0,1.0,0.9375,0.75,0.9,0.8181818181818182,0.8181818181818182
"(0, 1, 3, 4, 5, 6, 8, 9, 10, 11, 12, 13)",0.9996111392974854,0.9997000098228455,0.921875,0.6666666666666666,0.8888888888888888,0.761904761904762,0.761904761904762
"(0, 1, 3, 4, 5, 7, 8, 9, 10, 11, 12, 13)",0.9999444484710693,1.0,0.953125,0.9166666666666666,0.8461538461538461,0.8799999999999999,0.8799999999999999
"(0, 1, 3, 4, 6, 7, 8, 9, 10, 11, 12, 13)",1.0,1.0,0.90625,0.9166666666666666,0.6875,0.7857142857142857,0.7857142857142857
"(0, 1, 3, 5, 6, 7, 8, 9, 10, 11, 12, 13)",0.9998888969421387,0.9998000264167786,0.390625,0.9166666666666666,0.22448979591836735,0.36065573770491804,0.36065573770491804
"(0, 1, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13)",0.999833345413208,0.9998000264167786,0.921875,0.6666666666666666,0.8888888888888888,0.761904761904762,0.761904761904762
"(0, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12)",1.0,1.0,0.921875,0.6666666666666666,0.8888888888888888,0.761904761904762,0.761904761904762
"(0, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 13)",0.9379444718360901,0.9384999871253967,0.3125,0.9166666666666666,0.2037037037037037,0.3333333333333333,0.3333333333333333
"(0, 2, 3, 4, 5, 6, 7, 8, 9, 10, 12, 13)",1.0,1.0,0.96875,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.9166666666666666
"(0, 2, 3, 4, 5, 6, 7, 8, 9, 11, 12, 13)",1.0,1.0,0.921875,0.6666666666666666,0.8888888888888888,0.761904761904762,0.761904761904762
"(0, 2, 3, 4, 5, 6, 7, 8, 10, 11, 12, 13)",0.9998888969421387,0.9998999834060669,0.859375,0.5833333333333334,0.6363636363636364,0.6086956521739131,0.6086956521739131
"(0, 2, 3, 4, 5, 6, 7, 9, 10, 11, 12, 13)",0.9999444484710693,1.0,0.515625,0.9166666666666666,0.2682926829268293,0.4150943396226415,0.4150943396226415
"(0, 2, 3, 4, 5, 6, 8, 9, 10, 11, 12, 13)",0.9999444484710693,1.0,0.90625,0.75,0.75,0.75,0.75
"(0, 2, 3, 4, 5, 7, 8, 9, 10, 11, 12, 13)",1.0,1.0,0.953125,0.9166666666666666,0.8461538461538461,0.8799999999999999,0.8799999999999999
"(0, 2, 3, 4, 6, 7, 8, 9, 10, 11, 12, 13)",1.0,0.9998999834060669,0.953125,0.9166666666666666,0.8461538461538461,0.8799999999999999,0.8799999999999999
"(0, 2, 3, 5, 6, 7, 8, 9, 10, 11, 12, 13)",0.9991666674613953,0.9994000196456909,0.609375,0.9166666666666666,0.3142857142857143,0.4680851063829787,0.4680851063829787
"(0, 2, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13)",1.0,1.0,0.953125,0.9166666666666666,0.8461538461538461,0.8799999999999999,0.8799999999999999
"(0, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13)",0.9999444484710693,1.0,0.953125,0.8333333333333334,0.9090909090909091,0.8695652173913043,0.8695652173913043
"(1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12)",0.9055555462837219,0.9068999886512756,0.90625,0.6666666666666666,0.8,0.7272727272727272,0.7272727272727272
"(1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 13)",0.9015555381774902,0.9074000120162964,0.265625,0.9166666666666666,0.19298245614035087,0.3188405797101449,0.3188405797101449
"(1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 12, 13)",0.8997777700424194,0.9023000001907349,0.265625,0.9166666666666666,0.19298245614035087,0.3188405797101449,0.3188405797101449
"(1, 2, 3, 4, 5, 6, 7, 8, 9, 11, 12, 13)",0.9116111397743225,0.9114999771118164,0.328125,0.9166666666666666,0.20754716981132076,0.3384615384615385,0.3384615384615385
"(1, 2, 3, 4, 5, 6, 7, 8, 10, 11, 12, 13)",0.909166693687439,0.9089000225067139,0.265625,0.9166666666666666,0.19298245614035087,0.3188405797101449,0.3188405797101449
"(1, 2, 3, 4, 5, 6, 7, 9, 10, 11, 12, 13)",0.9081110954284668,0.909600019454956,0.234375,0.9166666666666666,0.1864406779661017,0.3098591549295775,0.3098591549295775
"(1, 2, 3, 4, 5, 6, 8, 9, 10, 11, 12, 13)",0.9086666703224182,0.9118000268936157,0.265625,0.9166666666666666,0.19298245614035087,0.3188405797101449,0.3188405797101449
"(1, 2, 3, 4, 5, 7, 8, 9, 10, 11, 12, 13)",0.8843888640403748,0.8831999897956848,0.328125,0.9166666666666666,0.20754716981132076,0.3384615384615385,0.3384615384615385
"(1, 2, 3, 4, 6, 7, 8, 9, 10, 11, 12, 13)",0.907444417476654,0.9079999923706055,0.28125,0.9166666666666666,0.19642857142857142,0.32352941176470584,0.32352941176470584
"(1, 2, 3, 5, 6, 7, 8, 9, 10, 11, 12, 13)",0.9054999947547913,0.9108999967575073,0.265625,0.9166666666666666,0.19298245614035087,0.3188405797101449,0.3188405797101449
"(1, 2, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13)",0.8930555582046509,0.8959000110626221,0.234375,0.9166666666666666,0.1864406779661017,0.3098591549295775,0.3098591549295775
"(1, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13)",0.9119444489479065,0.9085000157356262,0.25,0.9166666666666666,0.1896551724137931,0.31428571428571433,0.31428571428571433
"(2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13)",0.9081110954284668,0.911300003528595,0.28125,0.9166666666666666,0.19642857142857142,0.32352941176470584,0.32352941176470584
