,SRCID,OBSID,SRC_NUM,EP_ONTIME,INST,FEAT_VALS
54,207611001010107,0790380501,96,77809.05,PNX,"[[  1.48411334   0.13907285   0.06622517   0.03311258   0.
    0.           0.           0.78440106   2.05933089   3.70852438
  -16.8239975    0.20258638   0.67114094   0.77050978]]"
55,207611001010107,0790380501,96,77809.05,PNS,"[[ 1.05590916  0.20588235  0.          0.          0.          0.
   0.          1.58216184  0.73890707 -0.85145166  3.97087193  0.12304091
   0.84375     0.59186906]]"
56,207611001010107,0790380501,96,77809.05,PNU,"[[ 1.20171082  0.16935484  0.06451613  0.          0.          0.
   0.          1.44071121  1.28659443  0.58552521 32.21135712  0.14461641
   0.57377049  1.26921779]]"
57,202015001010002,0742050101,4,106779.4,PNX,"[[7.93700218e-01 1.71195652e-01 5.97826087e-02 2.44565217e-02
  2.71739130e-03 0.00000000e+00 0.00000000e+00 8.43722474e-01
  1.95752364e+00 4.15353257e+00 3.85495567e+01 1.21713363e-01
  5.79234973e-01 8.80855437e-01]]"
58,201110702010007,0152620101,13,53229.05,PNX,"[[9.78077352e-01 2.71523179e-01 7.28476821e-02 1.98675497e-02
  0.00000000e+00 0.00000000e+00 0.00000000e+00 8.00810728e-01
  1.58199758e+00 2.22111235e+00 5.56176338e+01 2.19959319e-01
  5.10067114e-01 8.72329141e-01]]"
59,206031901010004,0770180401,4,50548.71,PNS,"[[ 0.16063975  0.375       0.          0.          0.          0.
   0.          1.40582671 -0.14511636 -0.79606939  4.37769127  0.32400712
   0.09090909  2.85684804]]"
60,206940301010006,0694030101,6,54015.48,PNS,"[[ 5.47414064e-01  3.43137255e-01  1.96078431e-02  0.00000000e+00
   0.00000000e+00  0.00000000e+00  0.00000000e+00  1.55548624e+00
   2.29323572e-01 -6.11352225e-01 -2.05232067e+01  2.08358392e-01
   2.00000000e-01  2.13456568e+00]]"
61,206904418010109,0690441801,109,81569.24,PNS,"[[ 4.81402606e-01  3.94736842e-01  5.26315789e-02  6.57894737e-03
   0.00000000e+00  0.00000000e+00  0.00000000e+00  1.12359114e+00
   3.09453821e-01 -4.98727899e-02 -8.44573975e+00  1.33153230e-01
   3.00000000e-01  1.69190911e+00]]"
62,201129716010009,0690441801,130,81569.24,PNS,"[[5.93948066e-01 3.42105263e-01 4.60526316e-02 1.31578947e-02
  0.00000000e+00 0.00000000e+00 0.00000000e+00 1.19275264e+00
  8.86478203e-01 7.73058768e-01 2.39471951e+01 1.78017288e-01
  2.86666667e-01 2.02809825e+00]]"
63,207277801010045,0790380601,68,84651.17,PNS,"[[ 1.19010782e+00  1.40350877e-01  7.01754386e-02  2.33918129e-02
   8.77192982e-03  0.00000000e+00  0.00000000e+00  1.04982721e+00
   1.88052636e+00  3.64346072e+00 -2.25509052e+01  1.23218730e-01
   4.91176471e-01  1.46335253e+00]]"
