SRCID,OBSID,SRC_NUM,EP_ONTIME,INST,PN_RATE,CONF_DT50,CONF_DT250,CONF_DT1000
200813408010036,803910401,73,85089.37,PNX,0.010234979,0.9999825,0.99999166,0.9999474
208627302010017,862730601,16,65708.88,PNS,0.010786975,0.999944,0.9999981,0.99999845
208627302010007,862730601,8,65690.32,PNS,0.013281344,0.99992776,0.999987,0.99999464
207277801010041,790380501,114,109914.9,PNX,0.01309198,0.9999546,0.9999517,0.9998325
207277802010038,790380601,83,116691.4,PNX,0.012037778,0.9999858,0.99999726,0.9997434
203023901010077,805050101,90,61095.75,PNS,0.014057866,0.9999918,0.99998224,0.9999962
202038101010080,300270201,52,75903.66,PNS,0.016795602,0.9998566,0.99998,0.9998876
201489601010063,148960101,59,55746.7,PNX,0.013343908,0.99999523,0.99999905,0.9999912
201489601010038,148960101,37,55746.7,PNX,0.012433714,0.9999949,0.9999974,0.99909484
201125903010151,403200101,85,78344.15,PNU,0.02918962,0.99996674,0.9999472,0.9999455
201080604010027,604960301,51,99410.99,PNS,0.004147901,0.99999905,1.0,1.0
208229602010029,822960201,29,86137.89,PNS,0.009919867,0.99987924,0.9999279,0.99999726
201095201010019,210490101,2,87622.6,PNX,0.010194674,0.9995788,0.99992466,0.9993575
200709404010022,782650101,31,92126.34,PNX,0.00883591,0.9999958,0.99999535,0.99999726
201428001010010,142800101,10,87985.41,PNS,0.012154376,0.9992219,0.99992585,0.9995546
203057509010010,841482101,13,100106.9,PNS,0.01750731,0.99928975,0.99997056,0.999542
201042601010050,824450501,46,77996.35,PNX,0.0126414625,0.99997985,0.9999963,0.9996805
207848601010051,784860101,51,89153.02,PNS,0.011184311,0.9999906,0.9999596,0.99955577
207637004010042,763700301,18,53150.15,PNS,0.0067725945,1.0,1.0,0.9999826
201080605010112,604960301,44,99382.38,PNX,0.006504141,0.9999769,0.9999907,0.9999993
201080604010037,604960301,84,99410.99,PNS,0.0035282958,0.99999976,0.99999964,1.0
201010401010035,741280201,35,86262.8,PNX,0.010409332,0.99999523,0.99999356,0.99965274
201489601010021,148960101,21,55746.7,PNS,0.020257466,0.99994874,0.99999917,0.999283
201092703010050,763120401,3,79388.38,PNX,0.03545472,0.9996953,0.9999602,0.9999572
200709401010013,782650101,10,83343.35,PNU,0.036337182,0.99988353,0.9999875,0.9991374
