Features Used,Validation Accuracy,Sim Test Accuracy,Real Test Accuracy,Real Test Completeness,Real Test Purity,F1 Score,Metric Value
"(2, 5, 8, 9, 10)",0.9365000128746032,0.9402999877929688,0.9696969985961914,1.0,0.8571428571428571,0.923076923076923,0.923076923076923
"(2, 5, 8, 9, 11)",0.9470000267028809,0.9502000212669373,0.9090909361839294,0.9166666666666666,0.6875,0.7857142857142857,0.7857142857142857
"(2, 5, 8, 9, 12)",0.9454444646835328,0.949400007724762,0.3484848439693451,0.9166666666666666,0.2075471698113207,0.3384615384615385,0.3384615384615385
"(2, 5, 8, 10, 11)",0.9495555758476256,0.9502000212669371,0.939393937587738,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334
"(2, 5, 8, 10, 12)",0.9426110982894897,0.9455000162124634,0.27272728085517883,1.0,0.2,0.33333333333333337,0.33333333333333337
"(2, 5, 8, 11, 12)",0.945722222328186,0.948300004005432,0.8030303120613098,0.9166666666666666,0.4782608695652174,0.6285714285714286,0.6285714285714286
"(2, 6, 7, 8, 9)",0.9402777552604676,0.9434000253677368,0.9545454382896424,0.9166666666666666,0.8461538461538461,0.8799999999999999,0.8799999999999999
"(2, 6, 7, 8, 10)",0.9352777600288392,0.9369000196456908,0.8939393758773804,0.9166666666666666,0.6470588235294118,0.7586206896551724,0.7586206896551724
"(2, 6, 7, 8, 11)",0.9462222456932068,0.9501000046730042,0.939393937587738,0.9166666666666666,0.7857142857142857,0.8461538461538461,0.8461538461538461
"(2, 6, 7, 8, 12)",0.9405555725097656,0.939300000667572,0.2878787815570831,0.9166666666666666,0.1929824561403508,0.3188405797101449,0.3188405797101449
"(2, 6, 8, 9, 10)",0.9397222399711608,0.9398000240325928,0.9545454382896424,1.0,0.8,0.888888888888889,0.888888888888889
"(2, 6, 8, 9, 11)",0.9473888874053956,0.9505000114440918,0.9242424368858336,0.9166666666666666,0.7333333333333333,0.8148148148148148,0.8148148148148148
"(2, 6, 8, 9, 12)",0.9501110911369324,0.949400007724762,0.3181818127632141,0.9166666666666666,0.2,0.3283582089552239,0.3283582089552239
"(2, 6, 8, 10, 11)",0.9481666684150696,0.9501000046730042,0.9545454382896424,0.8333333333333334,0.9090909090909092,0.8695652173913043,0.8695652173913043
"(2, 6, 8, 10, 12)",0.940500020980835,0.9426000118255616,0.2727272808551788,1.0,0.2,0.3333333333333333,0.3333333333333333
"(2, 6, 8, 11, 12)",0.5002222061157227,0.5,0.8181818127632141,0.0,0,0,0
"(2, 7, 8, 9, 10)",0.9411110877990724,0.942200005054474,0.9696969985961914,1.0,0.8571428571428571,0.923076923076923,0.923076923076923
"(2, 7, 8, 9, 11)",0.9516666531562804,0.9501000046730042,0.939393937587738,0.9166666666666666,0.7857142857142857,0.8461538461538461,0.8461538461538461
