Features Used,Validation Accuracy,Sim Test Accuracy,Real Test Accuracy,Real Test Completeness,Real Test Purity,F1 Score
"(0, 5, 13)",0.9358333349227904,0.9298999905586244,0.1884057968854904,1.0,0.1884057971014492,0.3170731707317072
"(0, 6, 7)",0.9056110978126526,0.9045000076293944,0.5072463750839233,0.8461538461538461,0.2558139534883721,0.3928571428571428
"(0, 6, 8)",0.9195555448532104,0.9150999784469604,0.5797101259231567,1.0,0.3095238095238095,0.47272727272727266
"(0, 6, 9)",0.928666651248932,0.928600013256073,0.5072463750839233,1.0,0.2765957446808511,0.43333333333333335
"(0, 6, 10)",0.8966666460037231,0.8974999785423279,0.4057970941066742,0.8461538461538461,0.22,0.3492063492063492
"(0, 6, 11)",0.9163888692855836,0.9124000072479248,0.47826087474823,0.8461538461538461,0.2444444444444444,0.3793103448275862
"(0, 6, 12)",0.906499981880188,0.907800018787384,0.260869562625885,1.0,0.203125,0.33766233766233766
"(0, 6, 13)",0.929722249507904,0.9290000200271606,0.1884057968854904,1.0,0.1884057971014492,0.3170731707317072
"(0, 7, 8)",0.9271110892295836,0.9222999811172484,0.4202898442745209,1.0,0.2452830188679245,0.3939393939393939
"(0, 7, 9)",0.4938333332538605,0.5,0.8115941882133484,0.0,0.0,0.0
"(0, 7, 10)",0.9066110849380492,0.900600016117096,0.4202898442745209,0.8461538461538461,0.2244897959183673,0.35483870967741926
"(0, 7, 11)",0.9112222194671632,0.904699981212616,0.5942028760910034,0.8461538461538461,0.2972972972972973,0.44000000000000006
"(0, 7, 12)",0.5041666626930237,0.5,0.8115941882133484,0.0,0.0,0.0
"(0, 7, 13)",0.4988888800144195,0.5,0.8115941882133484,0.0,0.0,0.0
"(0, 8, 9)",0.5008888840675354,0.5,0.8115941882133484,0.0,0.0,0.0
"(0, 8, 10)",0.8495000004768372,0.8416000008583069,0.2318840622901916,1.0,0.1969696969696969,0.32911392405063283
