,Features Used,Validation Accuracy,Sim Test Accuracy,Real Test Accuracy,Real Test Completeness,Real Test Purity,F1 Score,Metric Value
200,"(0, 1, 3, 4, 7, 8, 9, 10, 11, 12, 13)",0.9313333630561828,0.930899977684021,0.1884057968854904,1.0,0.1884057971014492,0.3170731707317073,0.3170731707317073
201,"(0, 1, 3, 5, 6, 7, 8, 9, 10, 11, 12)",0.9267222285270692,0.9283000230789183,0.4347825944423675,0.9230769230769232,0.24,0.3809523809523809,0.3809523809523809
202,"(0, 1, 3, 5, 6, 7, 8, 9, 10, 11, 13)",0.92894446849823,0.9290000200271606,0.2318840622901916,0.9230769230769232,0.1875,0.3116883116883117,0.3116883116883117
203,"(0, 1, 3, 5, 6, 7, 8, 9, 10, 12, 13)",0.9270555377006532,0.9243000149726868,0.2173912972211837,1.0,0.1940298507462686,0.325,0.325
204,"(0, 1, 3, 5, 6, 7, 8, 9, 11, 12, 13)",0.9392777681350708,0.9376000165939332,0.1884057968854904,1.0,0.1884057971014492,0.3170731707317073,0.0
205,"(0, 1, 3, 5, 6, 7, 8, 10, 11, 12, 13)",0.9245555400848388,0.9218999743461608,0.2173912972211837,0.9230769230769232,0.1846153846153846,0.3076923076923077,0.3076923076923077
206,"(0, 1, 3, 5, 6, 7, 9, 10, 11, 12, 13)",0.9296666383743286,0.9271000027656556,0.2463768124580383,0.9230769230769232,0.1904761904761904,0.3157894736842105,0.3157894736842105
207,"(0, 1, 3, 5, 6, 8, 9, 10, 11, 12, 13)",0.8196666836738586,0.8169999718666077,0.2173912972211837,1.0,0.1940298507462686,0.325,0.325
208,"(0, 1, 3, 5, 7, 8, 9, 10, 11, 12, 13)",0.9312777519226074,0.9298999905586244,0.1884057968854904,1.0,0.1884057971014492,0.3170731707317073,0.3170731707317073
209,"(0, 1, 3, 6, 7, 8, 9, 10, 11, 12, 13)",0.9274444580078124,0.9301000237464904,0.260869562625885,0.9230769230769232,0.1935483870967742,0.3199999999999999,0.3199999999999999
210,"(0, 1, 4, 5, 6, 7, 8, 9, 10, 11, 12)",0.9311110973358154,0.9308000206947328,0.4492753744125366,0.9230769230769232,0.2448979591836734,0.3870967741935484,0.3870967741935484
211,"(0, 1, 4, 5, 6, 7, 8, 9, 10, 11, 13)",0.9302777647972108,0.9275000095367432,0.1884057968854904,1.0,0.1884057971014492,0.3170731707317073,0.3170731707317073
212,"(0, 1, 4, 5, 6, 7, 8, 9, 10, 12, 13)",0.8316666483879089,0.8378999829292297,0.3478260934352875,0.6923076923076923,0.18,0.2857142857142857,0.2857142857142857
213,"(0, 1, 4, 5, 6, 7, 8, 9, 11, 12, 13)",0.9366666674613952,0.9372000098228456,0.1884057968854904,1.0,0.1884057971014492,0.3170731707317073,0.0
214,"(0, 1, 4, 5, 6, 7, 8, 10, 11, 12, 13)",0.925000011920929,0.9230999946594238,0.2173912972211837,1.0,0.1940298507462686,0.325,0.325
215,"(0, 1, 4, 5, 6, 7, 9, 10, 11, 12, 13)",0.9265555739402772,0.9307000041007996,0.1884057968854904,1.0,0.1884057971014492,0.3170731707317073,0.3170731707317073
216,"(0, 1, 4, 5, 6, 8, 9, 10, 11, 12, 13)",0.9269444346427916,0.9265000224113464,0.2463768124580383,0.9230769230769232,0.1904761904761904,0.3157894736842105,0.3157894736842105
217,"(0, 1, 4, 5, 7, 8, 9, 10, 11, 12, 13)",0.9241666793823242,0.921999990940094,0.2173912972211837,0.9230769230769232,0.1846153846153846,0.3076923076923077,0.3076923076923077
218,"(0, 1, 4, 6, 7, 8, 9, 10, 11, 12, 13)",0.9275000095367432,0.9297999739646912,0.2463768124580383,0.9230769230769232,0.1904761904761904,0.3157894736842105,0.3157894736842105
219,"(0, 1, 5, 6, 7, 8, 9, 10, 11, 12, 13)",0.9300000071525574,0.9289000034332277,0.260869562625885,0.9230769230769232,0.1935483870967742,0.3199999999999999,0.3199999999999999
220,"(0, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11)",0.9303333163261414,0.9307000041007996,0.5652173757553101,0.9230769230769232,0.2926829268292683,0.4444444444444444,0.4444444444444444
221,"(0, 2, 3, 4, 5, 6, 7, 8, 9, 10, 12)",0.9187222123146056,0.9196000099182128,0.3333333432674408,1.0,0.2203389830508474,0.3611111111111111,0.3611111111111111
222,"(0, 2, 3, 4, 5, 6, 7, 8, 9, 10, 13)",0.92338889837265,0.9241999983787536,0.2318840622901916,1.0,0.1969696969696969,0.3291139240506329,0.3291139240506329
